Day,Month,Year,Time,Location,Route,Aboard,Passengers Aboard,Crew Aboard,Fatalities,Passenger Fatalities,Crew Fatalities,Ground,Flight #,AC Type,Registration,cn / ln,Summary
11,September,1968,1034,"Off Cap d'Antibes, France",Ajaccio - Nice,95,89,6,95,89,6,0,1611,Sud-Aviation Caravelle 3,F-BOHB,244,"The airliner crashed into the Mediterranean sea, 10 miles south of Nice Airport, while attempting an emergency landing 21 minutes after taking off. Prior to the crash a message was received that there was fire aboard in the rear of the cabin."
25,October,1968,1717,"Hanover, New Hampshire","Boston, MA - Montpelier, VT - Lebanon, NH",42,39,3,32,30,2,0,946,Fairchild-Hiller FH227C,N380NE,517,The aircraft crashed into Moose Mountain during an approach. Execution of a non-standard approach.  Premature descent. The crew was not able to determine accurately its position because they had performed a non-standard instrument approach and there were no supplement navigational aids available for their use.
22,November,1968,0124,"Off San Francisco, California",Tokyo - San Francisco,107,96,11,0,0,0,0,2,McDonnell Douglas DC-8-62,JA8032,45954/362,"The plane landed in the shallow waters of San Francisco Bay, 2.5 mile short of the Runway 28L. All 107 people aboard were safely evacuated off the plane without injury. According to the NTSB, the captain said he was making a coupled approach, but because of problems with his pressure altimeter, he was relying on the more accurate radio altimeter for verification of altitude. The captain looked up expecting to be 200 feet above the water but instead was nearly in the water. He applied power but it was too late. The captain did not cross-check the raw data glide-slope signals and didn't realize the ILS on-course position was far above where he was. The  improper application of the prescribed procedures to execute an automatic-coupled ILS approach. This deviation from the prescribed procedures was, in part, due t o a lack of familiarization and infrequent operation of the installed flight director and autopilot system.  As a result, Japan Air Lines changed their training procedures to stress command responsibilities, crew coordination and transition time for new type of aircraft. The aircraft was recovered from the San Francisco Bay 55 hours after the accident, repaired at a United Air Lines facility and eventually flow back to Japan where it was put  in service for many decades."
23,November,1968,1959,"Santa Ana, California",Los Angeles - Santa Ana,9,7,2,9,7,2,0,544,de Havilland Canada DHC-6 Twin Otter 200,N7666,148,"While on approach to the airport, in dense fog, the aircraft descended prematurely and its left wing clipped a 30 ft. light pole on the grounds of a fire station 1.8 miles northwest of the runway threshold. The plane then veered into the adjacent elevated western embankment of a freeway and broke up, spewing flaming wreckage across all six traffic lanes. Improper IFR operation. Misjudged altitude."
02,December,1968,0936,"Pedro Bay, Alaska",Anchorage - Iliamna,39,36,3,39,36,3,0,55,Fairchild F-27B,N4905,0049,"Broke up in severe turbulence at 11,500 feet. Failure of the right wing that was weakened by pre-existing fatigue cracks.  The turbulence was not forcast and not known to the flight crew.  Improper maintenance. Incorrect weather forcast."
12,December,1968,2202,"Near Caracas, Venezuela",New York City - Caracas,51,42,9,51,42,9,0,217,Boeing B-707-321B,N494PA,19696/688,"En route from New York City, the airliner crashed in the Caribbean sea and exploded while descending for a landing  at Maiquetia Airport. Possible sensory illusion produced by the town lights on upslope. The aircraft was named ""Clipper Malay."""
24,December,1968,2012,"Bradford, Pennsylvania",Detroit - Erie - Bradford - Harrisburg - Washington DC,47,41,6,20,17,3,0,736,Convair CV-580,N5802,410,"The aircraft crashed into trees in the snow, 2.5 miles short of the runway, during an instrument approach. Continuation of the descent below minimum descent altitude into obstructing terrain while both pilots were looking outside to establish visual reference to the ground. Rescuers reached the survivors in snowmobiles. Improper IFR operation. Misread or failed to read instruments."
27,December,1968,2022,"Chicago, Illinois",Minneapolis - Chicago - Milwaukee,45,41,4,27,24,3,1,458,Convair CV-580,N2045,369,"The aircraft crashed during an instrument approach after a go-around, nearly inverted, into a hangar. Spacial disorientation of the crew precipitated by refraction of the landing or approach lights during transition from flying IFR to visual reference to the ground."
31,December,1968,0830,"Port Hedland, WA, Australia",Perth - Port Hedland,26,21,5,26,21,5,0,1750,Vickers Viscount 720,VH-RMQ,045,"Last radio contact  from the aircraft was at 11:34 local 30 DME south of Port Hedland in moderate turbulence. The aircraft was seen descending rapidly. Wreckage was found 28 miles south of Port Hedland. The accident was caused by a crack originating at a bolt hole in the wing spar. Also, it was found that someone  had carried out an incorrect procedure on the spar, by forcing an oversize bush into the housing of the lower spar boom, resulting in damage which exacerbated the spread of the hairline fracture."
02,January,1969,2012,"Mt. Paku, Taiwan",Kaohsiung - Hualien,24,19,5,24,19,5,0,227,Douglas DC-3D,B-309,12541,Encountered extreme turbulence and downdrafts while en route near mountains.
05,January,1969,0134,"Gatwick Airport, Horley, Surrey,  England",Frankfurt - London,62,54,8,48,43,5,2,701,Boeing B-727-113C,YA-FAR,19690/540,The aircraft descended below the glide slope and crashed into trees and a house short of the runway.  Incorrect setting of flaps and instruments.  The pilot inadvertently allowing the aircraft to descend below the glide slope during the final stage of an approach to land until it was too low for recovery to be effected.
06,January,1969,2035,"Near Bradford, Pennsylvania",Washington - Harrisburgh - Bradford - Erie - Detroit,28,25,3,11,9,2,0,737,Convair CV-580,N5825,386,"Crashed, clipping tree tops short of the runway, in light snow while on approach. An excessive descent was not detected or corrected by the crew for reasons unknown. Possibilities include an altimeter failure or misreading of the instrument approach chart. A similar accident with the same airline, aircraft type and route occurred on 12/24/1968."
13,January,1969,1921,"Off Los Angeles, California",Copenhagen - Seattle - Los Angeles,45,36,9,15,12,3,0,933,McDonnell Douglas DC-8-62,LN-MOO,45822/272,"The aircraft was on approach to 07R when it crashed into Santa Monica Bay 6 miles short of the runway. The fuselage  broke into 3 pieces one of which floated for 20 hours. SAS did not authorize a back course approach to LAX.  A VOR approach was conducted without notifying the controlling authority. The crew was preoccupied with a landing gear light problem. Lack of crew coordination and inadequate monitoring of aircraft position which resulted in an unplanned descent into the water. The aircraft was named ""Sverre Viking."""
18,January,1969,1821,"Off Los Angeles, California",Los Angeles - Denver - Milwaukee,38,32,6,38,32,6,0,266,Boeing B-727-22QC,N7434U,19891/631,"The aircraft crashed into Santa Monica Bay shortly after a night takeoff in poor weather and visibility. The aircraft was dispatched with the No. 3 generator inoperative. While this was allowed, United was required to repair the generator at the first airport where there were repair facilities. The aircraft flew for a total of 41 hours with the inoperative generator passing through airports that had the facilities to repair the generator. Soon after taking off, the crew reported a fire warning in the No. 1 engine and shut it down as required. For reasons that could not be determined, shutting down the No. 1 engine and it’s generator tripped the No.2 generator resulting in the loss of all electrical power in the aircraft. Following loss of all electrical power, the battery standby electrical system either was not activated or failed to function. Electrical power at a voltage level of approximately 50 volts was restored approximately a minute and a half after loss of the No. 2 generator. The duration of this power restoration was just 9 to 15 seconds. Regardless, the pilots did not have functioning attitude indicators from the time the No. 2 generator tripped. In the dark, with no outside or inside reference to guide them, the pilots became spatially disoriented and the plane eventually went into a dive and crashed into the Pacific Ocean 11.3 miles west of the airport and sank in 950 ft. of water. The accident was caused by the loss of attitude orientation during a night, instrument departure in which all attitude instruments were disabled by loss of electrical power. The investigation was not able to determine (a) why all generator power was lost or (b) why the standby electrical power system either was not activated or failed to function."" One unproven scenario that is not contradicted by available evidence was the inadvertent placement of the battery switch to the ""OFF"" position by the flight engineer during attempts to remove galley loads from the generator buses. The galley switches were similar in shape and size and were located on the flight engineer's upper panel in close proximity to the battery switch. Following the accident, the flight engineer’s panel was redesigned to place a guard over the battery switch."
18,February,1969,0510,"Near Lone Pine, California","Hawthorne, NV - Burbank - Long Beach",35,32,3,35,32,3,0,708,Douglas DC-3,N15570,6320,"The flight designated ""gambler's special"" flew into  Mt. Whitney at 11,770 ft. about 11 miles west of Lone Pine.  Deviated from prescribed course, as authorized, resulting in the aircraft being operated under IFR weather conditions, in high mountainous terrain, in an area where there was a lack of radio navigation aids. Aircraft recovered 8/8/69."
16,March,1969,1400,"Maracaibo, Zulia, Venezuela",Maracaibo - Miami,84,74,10,84,74,10,71,742,McDonnell Douglas DC-9-32,YV-C-AVD,47243/448,"Seconds after becoming airborne, the aircraft struck electrical power lines and crashed into houses in the La Trinidad section of the city. Takeoff calculations made from erroneous information. Faulty temperature sensor along the runway. San Francisco Giants pitcher Nestor Chavez, 22,  killed."
02,April,1969,1608,"Zawoja, Poland",Warsaw - Cracow,53,48,5,53,48,5,0,165,Antonov AN-24V,SP-LTF,67302406,The aircraft was on a flight from Warsaw to Cracow when it crashed into the Babia Gora mountains. The aircraft deviated from its normal route in heavy fog for unknown reasons.
04,June,1969,0842,"Near Salinas Victoria, Nuevo Leon, Mexico",Mexico City - Monterey,79,72,7,79,72,7,0,704,Boeing B-727-64,XA-SEL,19256/355,"While the crew was descending and attempting to align with the runway, the plane hit high ground, several kilometers from the airport, in poor weather conditions. Excessive speed and wide radius of turn took the  aircraft out of the designated descent area and over rising terrain."
23,June,1969,1452,"Near Poroslitsy, Russia",Moscow - Chernihiv,120,110,10,120,110,10,0,831,Ilyushin IL-14M / Antonov An-12BP,CCCP-52018,	 7343208/402503,"A soviet air force plane carrying 91 paratroopers collided with a passenger airliner at 3,000 m. The IL-14 pilot changed altitude without permission to avoid storm clouds. Twenty-four killed on the IL-14 and 96 on the An12."
28,June,1969,1950," Near Talas, Kyrgyzstan","Talas, Kyrgyzstan - Frunze, Russia",40,35,5,40,35,5,0,F-28,Ilyushin IL-14,CCCP-91495,7343306,The passenger plane struck a mountian 34 km from Talas. Crew error. The crew made a right turn  towards the mountains instead of  a left turn.
06,July,1969,2022,"Near Monroe, Georgia","Atlanta, GA - Sumpter, SC - Greer, SC",14,12,2,14,12,2,0,168,Beechcraft B-99,N844NS,U16,"The aircraft descended in a near vertical dive crashing to the ground. Unwanted change in longitudinal trim which resulted in a nose down high-speed flight condition that was beyond the physical capacity of the pilots to overcome. The initiating element in the accident sequence could not be specifically determined. However, design of the aircraft flight control system was conducive to malfunctions of the flight control systems which, if undetected by the crew could lead to loss of control."
15,July,1969,0657,"New York City, New York",New York - Newark,14,11,3,3,1,2,0,901,de Havilland Canada DHC-6 Twin Otter 200,N558MA,175,The plane flew into wake turbulence and crashed.  The pilot was 12 minutes behind schedule and made an intersection takeoff. The tower warned him of wake turbulence from a recently departing jet.
03,August,1969,1600,"	Preobrazhenka, Ukraine",	Dnepropetrovsk - 	Vinnitsa,55,51,4,55,51,4,0,H926,Antonov An-24B,	 CCCP-46248,	 77303206,"At an altitude of 4,000 m the propeller separated from the left engine.The blade punctured the fuselage, severing elevator and aileron controls. The crew could not control the plane  anymore. It went into a spin and crashed."
26,August,1969,2031,"Moscow, Russia",	Noril'sk - Moscow,102,94,8,16,16,0,0,1770,Ilyushin IL-18,	 CCCP-75708,189001705,"On final approach to Moscow-Vnukovo, the flying crew failed to lower the landing gear."
26,August,1969,0945," Khovu-Aksy, Russia",Kyzyl - Khovu-Aksy,14,11,3,14,11,3,0,545,Antonov AN-2,CCCP-41971,1 33 473 11,The crew encountered below-minima weather conditions with low clouds over the mountains.The airplane struck the slope of a mountain
31,August,1969,2005,"Newton, Iowa",Chicago - Des Moines.,3,2,1,3,2,1,0,-,Cessna 172H,N3149X,55299,"The single engine plane took off at night in rainy weather despite warnings of a building storm front. Fighter, Rocky Marciano, 45,  killed. The pilot was not cleared to fly IFR and had only 35 hours of night flying experience. The plane got as far as Newton, Iowa. The plane was seen flying barely 100 feet off the ground when it entered a rolling bank of clouds. Reappearing once, it rose and disappeared again. The plane crashed into a lone oak tree in the middle of a corn field. After a stop at Des Moines, Marciano was on his way home to attend his birthday party. Pilot attempted operation beyond experience/ability level. Continued VFR flight into adverse weather conditions. Spatial disorientation."
01,September,1969,1305,"Cross Bay, Russia",Anadyr - Cross Bay,27,22,5,22,17,5,0,55,Ilyushin IL-14P,CCCP-61731,146000205,The plane crashed into a hillside 24 km from the airport in poor weather while on approach.  Failure of the crew  to reduce speed and approach in weather worse than the specified minimum.
09,September,1969,1429,"Near Fairland, Indiana",Indianapolis - Bakalar AFB,83,79,4,83,79,4,0,853,MD Douglas DC-9-31/Piper Cherokee PA-28,N988VJ/N7374J,47211/357 / ?,"Midair collision at 2,500 ft. The Piper crashed into the tail of the DC-9 as it prepared to land. Eighty-two killed aboard the DC-9, one aboard the Piper.  Inadequate VFR separation and deficiencies in the ATC system in the terminal area with mixed VFR/IFR traffic."
17,September,1969,1709,"Campbell River, Canada",Vancouver - Campbell River,15,11,4,4,2,2,0,627,Convair CV-640,CF-PWR,440,Crashed into a hill  while attempting to land in inclement weather. Non-compliance with the instrument approach procedures. Pilot error.
13,October,1969,1727,"Nizhnevartovsk, Russia",Surgut - Nizhnevartovsk,56,52,4,24,22,2,0,227,Antonov An-24B,CCCP-47772,79901404,"The plane crashed 1,090 mshort of the runway while on approach A propeller accidently feathered when the de-icing system was activated causing the plane to lose altitude and crash."
13,November,1969,0233,"Near Anderma, Russia",Amderma - Moscow,12,9,3,12,9,3,0,5009,Antonov An-12TB,CCCP-11376,402406,Crashed on approach. Icing.
19,November,1969,2020,"Mt. Pilot Knob, Glens Falls, New York",Albany - Glenn Falls,14,11,3,14,11,3,0,411,Fairchild-Hiller FH-227B,N7811M,531,"Struck trees on the northwest slope of Pilot Knob Mountain, and impacted a rock cliff, after which the aircraft fell 38ft, becoming lodged between trees. The captain exceeded his clearance limits and flew the aircraft into a severe ""lee side"" mountain downdraft at an altitude insufficient for recovery."
20,November,1969,0830,"Near Ikeja, Nigeria",Kano - Lagos,87,76,11,87,76,11,0,825,BAC VC-10-1101,5N-ABD,804,The aircraft crashed and burned 8 miles from Lagos Airport where it was to have landed. Cause unknown.  Possibly insufficient monitoring of equipment. Allowing the aircraft to come down to an unsafe altitude without contact with the ground.
03,December,1969,1805,"Off Caracas, Venezuela","Caracas - Pointe a Pitre, Guadeloupe",62,41,21,62,41,21,0,212,Boeing B-707-328B,F-BHSZ,18459/335,"At a height of 3,000 ft., the aircraft suddenly nosed  into the sea, 3 minutes after taking off. Cause unknown.  It appears that the report has been classified by the French Authorities until 2029."
06,December,1969,0707,"Near Khantanga, Russia",Syktyvkar - Khatanga,8,2,6,8,2,6,0,5135,Antonov An-12PL,CCCP-11381,402807,Crashed short of the runway on approach. Icing.
10,December,1969,1833,"Off Makhachkala , Russia",Makhachkala - Astrakhan,17,12,5,17,12,5,0,2953,Ilyushin 14P,CCCP-52010,703101,ATC lost contact with the aircraft shortly after it took off crashing into the ocean. Cause unknown. Possible collision with a flock of birds.
13,January,1970,0600,"Faleolo, Western Samoa","Apia, Western Samoa - Pago Pago, American Samoa",32,29,3,32,29,3,0,208B,Douglas DC-3,5W-FAC,16964,"Crashed into a lagoon 400 yards past the end of the runway, seconds after taking off after the plane pitched up and stalled. Windshear, precipitation and turbulence."
29,January,1970,1927,"Near Murmansk, Russia",Leningrad - Murmansk,11,32,6,11,8,3,0,145,Tupolev TU-124,CCCP-45083,5351706,Collided with a snow-covered rocky mountain slope 40 km northeast of Batagay Airport at an altitude of 1020 meters. The crew had initiated a descent prematurely.
06,February,1970,1542,"Near Samarkand, USSR",Tashkent - Samarkand,106,98,8,92,85,7,0,045,Ilyushin IL-18V,CCCP-75798,182004303,"Crashed into a mountain at an elevation of 5,000 ft. 32 km northeast of Samarkand Airport.  Misidentification of the aircraft by the air traffic controller."
10,February,1970,1837,"Long Island Sound, Connecticut","Groton, CT - New York, NY",5,3,2,5,3,2,0,203,de Havilland Canada DHC-6 Twin Otter 100,N124PM,41,Crashed into Long Island Sound while on a flight from Groton to New York.  Fuel exhaustion resulting from inadequate flight preparation and erroneous in-flight decisions by the pilot-in-command.
21,February,1970,1334,"Zurich, Switzerland",Zurich - Tel Aviv,47,38,9,47,38,9,0,330,Convair CV-990-30A-6,HB-ICD,301015,"About 9 minutes after taking off, the crew reported trouble with the aircraft's cabin pressure and radioed they were returning to the airport. The crew reported they suspected an explosion in the aft cargo hold. While returning to the airport the crew lost navigational instruments and electrical power. The cockpit filled with smoke and the plane crashed into a forest. Detonation of an explosive device in the rear section of the passenger cabin shortly after takeoff. A bomb with an altimeter trigger was believed to have been placed in a package mailed to an Israeli address by Palestinian extremists."
01,April,1970,0407,"Novosibirsk, Russia",Krasnoyarsk - Novosibirs,45,40,5,45,40,5,0,1661,Antonov AN-24V,CCCP-47751,79901204,The aircraft crashed after colliding with a radiosonde weather balloon and disintegrated in the air.
04,April,1970,2047,"Zaporozhye, Ukraine",	Rostov - Zaporozhye,35,30,5,7,6,1,0,2903,Ilyushin IL-14P,CCCP-52002,602111,The plane was destroyed when it crashed while on approach. The crew descended prematurely and was not monitored.
21,April,1970,1130,"Manila, Philippines",Cuayan - Manila,36,32,4,36,32,4,0,215,Hawker Siddeley HS-748-209,PI-C-1022,1643,"The aircraft was on a flight from Cauayan, Isabela to Manila when it crashed into mountainous terrain after a bomb explosion in the rear lavatory of the aircraft  broke off the tail section."
02,May,1970,1549,"Near St. Croix, US Virgin Islands",New York City - St. Maarten,63,57,6,23,22,1,0,980,McDonnell Douglas DC-9-33CF,N935F,47407/457,"The flight was scheduled to fly from New York to St. Maarten. Because of poor visibility, the aircraft could not land at St. Maarten and was diverted to San Juan, Puerto Rico. Five minutes later the crew was told the weather had improved at St. Maarten and were directed back. After 3 missed landing attempts at St. Maarten, the crew asked to be diverted to St. Thomas. By this time, the plane was very low on fuel and the crew chose to divert to St. Croix. While trying to make St. Croix, the aircraft ran out of fuel and ditched into the sea, 35 miles from shore, sinking in 5,000 ft. of water. Improper management of fuel by the crew. Continued, unsuccessful attempts to land at St. Maarten until insufficient fuel remained to reach an alternate airport. A contributing factor was rain showers in the approaching zone not reported to the crew. Inadequate warning given to passengers before the ditching."
30,May,1970,0930,"Chamblee, Georgia","Chamblee, GA - Fort Myers,FL",33,29,4,1,1,0,5,701,Martin 404,N40412,14116,There was a loss of power as the aircraft climbed after taking off from DeKalb Peachtree Airport. The plane touched down and slid along a highway for one-half a mile striking a automobile killing 5 people. Loss of effective engine power because of improper fuel having been placed in the tanks by relatively untrained personnel. A contributing factor was the flightcrew did not detect the error.
03,July,1970,1905,"Near Arbucias, Gerona, Spain",Manchester - Barcelona,112,105,7,112,105,7,0,1903,de Havilland Comet 4,G-APDN,06415,"Due to heavy traffic, the flight was diverted from the planned route. The aircraft failed to follow the assigned airway and crashed into a cloud obscured Montseny Mountain while on approach. The deviation from the assigned airway may have been caused by malfunctioning equipment. In addition, the ATC did not realize the aircraft was deviating from its assigned course."
05,July,1970,0809,"Toronto, Canada",Montreal - Toronto - Los Angeles,109,100,9,109,100,9,0,621,McDonnell Douglas DC-8-63,CF-TIW,46114/526,"While attempting to land at Toronto, at approximately 60 feet above the runway, the spoilers were inadvertently deployed causing the aircraft to fall to the runway and lose the No. 4 engine. With the wing on fire, the captain decided to go-around but while circling the plane lost the No. 3 engine and eventually went into a steep dive and crashed. Inadvertent deployment of the spoilers by the first officer while the aircraft was still in the air. Faulty design by allowing the spoiler handle to perform two different unrelated tasks (lift to arm and pull to deploy). After the crash McDonnell Douglas denied there was any design flaw and the FAA decided to issue an Airworthiness Directive requiring a warning placard on all DC8s. After two and possibly three more crashed with the same cause an AD was issued requiring a safety lock be installed."
27,July,1970,1135,"Tokyo, Japan",Tokyo - Okinawa,4,0,4,4,0,4,0,45,McDonnell Douglas DC-8-63AF,N785FT,46005/412,Cargo plane. An unarrested rate of descent due to inattention of the crew to instrument altitude references while the pilot was attempting to establish outside visual contact in meteorological conditions which precluded such contact during that segment of a precision radar approach inbound from the Decision Height.
09,August,1970,1500,"Near Cuzco, Peru",Cuzco - Lima,100,91,9,99,91,8,2,502,Lockheed 188A Electra,OB-R939,1106,"The flight crashed shortly after takeoff after the No. 3 engine failed. Procedural error after an emergency occurred. With flaps retracted, the aircraft lost altitude and crashed while in a turn. The improper execution of engine-out procedures by the flight crew with contributing factors of improper loading of the aircraft and improper maintenance procedures by company personnel."
02,September,1970,1541," Lihovka, Ukraine",Rostov-on-Don - Vilnius,37,32,5,37,32,5,0,3630,Tupolev Tu-124,CCCP-45012,1350402,The plane lost control and crashed about 30 minutes after taking off. Cause undetermined.
03,September,1970,2126,"Near Leningrad, USSR","Frunze, Kyrgyzstan - Leninabad, Tajikistan",21,18,3,21,18,3,0,W-4,Yakovlev YAK-40,CCCP-87690,9910503,"Crashed into a mountain after the captain descended over mountainous terrain without knowing his position. Poor flight planning, erroneous in-flight decisions and navigation errors on part of the flying crew caused the aircraft to be off-course at the time of the accident, resulting in a controlled flight into terrain."
08,September,1970,1606,"New York, New York","Jamaica, NY - Washington D.C.",11,0,11,11,0,11,0,863,McDonnell Douglas DC-8-63CF,N4863T,45951/414,"Rejected takeoff. Lost control and crashed. Loss of pitch control caused by the entrapment of a pointed, asphalt-covered object between the leading edge of the right elevator and the right horizontal spar web access door in the aft part of the stabilizer."
02,October,1970,1200,"Mt. Trelease, near Silver Plume, Colorado","Wichita - Denver - Logan, Utah",40,37,3,32,30,2,0,108,Martin 404,N464M,14151,"Two charter planes took off Wichita for a flight to Logan, Utah via Denver. The flight was uneventful to Denver.  The crew of N464M decided to fly a scenic route the rest of the way to Logan. The aircraft, which was overloaded by 5,165 lbs. , flew into a box canyon. Confronted with steeply rising terrain, the pilot made a sharp bank trying to turn around in the narrowing valley and stalled, crashing into a mountainous forested area on  Mt. Trelease. Numerous members and staff of the Wichita State Football team were killed. The pilot had only 123 total hours in a Martin 404, the copilot 30 hours. Intentional operation of the aircraft over a mountain valley route at an altitude from which the aircraft could neither climb over the obstructing terrain ahead, nor execute a successful course reversal. Other factors included overloaded conditions, lack of a flight planning and minimum qualifications of the crew."
14,November,1970,1936,"Near Huntington, West Virginia","Kingston, NC - Huntington, WV",75,71,4,75,71,4,0,932,McDonnell Douglas DC-9-31,N97S,47245/510,"While on approach, the aircraft crashed one mile short of Runway 11 at Tri-State Airport in rain and fog. Thirty-six players and 5 coaches on the Marshall University football team were among those killed. Improper procedures executed by the crew. Descent below Minimum Descent Altitude during a nonprecision approach under adverse operating conditions, without visual contact with the runway environment. The reason for this descent was not able to be determined, although the two most likely explanations are ( a ) improper use of cockpit instrumentation data, or (b) an altimetry system error ."
27,November,1970,1705,"Anchorage, Alaska",Anchorage - Yokota AFB,229,219,10,47,46,1,0,26,McDonnell Douglas DC-8-63CF,N4909C,46060/472,"The military charter overran the runway during takeoff, hit the ILS localizer support structure and burst into flames. The lack of acceleration, undetected by the crew  until after V1 speed was reached caused by the main landing gear wheels remaining locked after power was applied for takeoff on the icy runway due to brake or hydraulic failure."
28,December,1970,1442,"St. Thomas, Virgin Islands",New York - St. Thomas,55,48,7,2,2,0,0,505,Boeing B-727-2A7,N8790R,20240,"The aircraft experienced a hard landing which caused it to bounce. The crew executed a second touchdown which caused the main landing gear to fail. The aircraft veered off the right side of the runway, passed through the airport perimeter fence, crossed a paved highway and hit an embankment. Captain's use of improper techniques in recovering from a high bounce generated by a poorly executed approach and touchdown."
31,December,1970,1637,"Leningrad, USSR",Leningrad - Erevan,93,90,3,93,90,3,0,3012,Ilyushin IL-18B,CCCP-75773,181003603,"The plane crashed during takeoff on a flight to Erevan. Due to poor flight preparation and lack of coordination, the crew failed to follow the pre-takeoff checklist and failed to deploy the flaps prior to departure, according to the published procedures."
02,January,1971,0325,"Ben Gashir, Libya",Algiers - Tripoli - Cairo,16,8,8,16,8,8,0,844,de Havilland Comet 4C,SU-ALC,6439,Crashed 7 kms from the runway in a sandstorm. Decision to land while visibility was below company minimums for that particular airport at night.
09,January,1971,1620,"Edison, New Jersey","San Francisco, CA - Newark, NJ",21,14,7,2,0,2,0,30,Boeing B-707-323 / Cessna 150,N7595A/N60942,19345 / ?,"Midair collision at 3,000 ft.  Failed to see and avoid other aircraft. The Boeing 707 landed safely. Two killed on the Cessna.  System permitted VFR operation in congested area in reduced visibility."
18,January,1971,1549,"Zurich, Switzerland",Paris - Zurich - Sofia,47,39,8,45,38,7,0,LZ130,Ilyushin IL-18,LZ-BED,186009002,"The crew decided while on the ground at Paris not to stop at Zurich but later, while in flight, changed their minds when they received reports of improving weather. The plane crashed during the approach to Zurich after drifting to the right and below the glide path. The left wing tip and landing gear struck the ground first.The crew neglected several published procedures which led the aircraft to pass below the minimum descent altitude and the approach path."
31,March,1971,0633,"Ontario, California",Los Angeles - Ontairo,5,0,5,5,0,5,0,366,Boeing B-720-047B,N3166,19439,"The aircraft, during a training flight suddenly rolled to the left and  crashed after a missed, 3 engine, ILS approach. Failure of the aircraft rudder hydraulic actuator support fitting which led to the loss of left rudder control. Stress corrosion cracks."
31,March,1971,1259,"Vorochilovgrad, Ukraine",Kuibyshev - Lugansk,65,57,8,65,57,8,0,1969,Antonov An-10,CCCP-11145,8400701,"Crashed on approach resulting from structural failure of the right outer wing. A portion of 13 m2 detached from the upper surface of the right wing during the approach, causing the aircraft to be uncontrollable."
23,May,1971,2000,"Near Rijeka, Yugoslavia",London - Rijeka,83,76,7,78,75,3,0,130,Tupolev TU-134A,YU-AHZ,1351205,"The aircraft crashed on landing at Rijeka Airport during a heavy rain storm. After a too rapid descent, the aircraft landed extremely hard on the runway causing the left wing to separate. The aircraft turned over and slid 2,300 ft. and burst into flames. Improper handling of the flight and engine controls. Optical illusion due to the intense rain which caused a refraction of light."
06,June,1971,1711,"Near Duarte, California",Los Angeles - Salt Lake City,51,44,7,50,44,6,0,706,McDonnell Douglas DC-9-31 / F4-B,N9345/151458,47441/503 / ?,"The DC-9 was climbing to FL 330 under radar control of the LA ARTCC and the F4-B was en route to El Toro under VFR. Visibility was good with no clouds. The collision took place at 15,150 feet. Both planes crashed into the San Gabriel Mountains. One of two killed on the F4 when the forward canopy did not jettison. The other crew member parachuted to safety unhurt. All forty-nine killed aboard the DC-9. Failure of both crews to see and avoid each other and failure of the F4 crew to request radar advisory service and particularly considering the fact that they had  an inoperable transponder.  Allegations also surfaced that the F-4B was performing an aerobatics maneuver shortly before the collision."
07,June,1971,0849,"New Haven, Connecticut","Washington D.C. - Newport News, VA - Philadelphia",31,28,3,28,26,2,0,485,Convair CV-580,N5832,384,"The aircraft crashed into a row of beach houses, 4,980 feet short of the runway. Captain's intentional descent below minima under adverse weather conditions while trying to locate the runway despite advisories from 1st. officer."
03,July,1971,1810,"Hokkaido, Japan",Sapporo - Hakodate,68,64,4,68,64,4,0,63,NAMC YS-11A-227,JA8764,2134,The aircraft crashed into Yokotsu Mountain while on approach. Navigational error after strong winds caused flight to drift.
25,July,1971,0835,"Near Irkutsk, Russia",Novosibirsk - Irkutsk,126,118,8,97,93,4,0,1912,Tupolev TU-104B,CCCP-42405,820202,"While landing at Irkutsk Airport the aircraft landed short of the runway after an excessive rate of sink. The left wing separated and the plane burst into flames. Procedural errors by the crew. The aircraft' speed was 32 km/h lower than the prescribed speed when the vertical speed was too high, which prevented the pilots to complete a correct touchdown and avoid the violent impact with the runway surface."
30,July,1971,1400,"Near Morioko, Japan",Sapporo - Tokyo,164,155,9,163,155,8,0,58,Boeing B-727-281 / Air Force F86F,JA8329 / ?,20436/788,"A Japan Air Self Defense Force F-86F fighter collided with the B-727. Both aircraft crashed, but the fighter pilot ejected safely. All one hundred sixty-two aboard the 727 were killed. The fighter pilot and his captain was indicted for involuntary homicide. The fighter pilot was acquitted but the captain was convicted and received 3 years in jail for not providing sufficient supervision of his wingman."
30,July,1971,1429,"San Francisco, California",San Francisco - Los Angeles,218,197,21,0,0,0,0,845,Boeing B-747-121,N747PA,19639/2,"The aircraft struck approach lights at the departure end of runway during takeoff. Miscalculation of available runway length and takeoff reference speed by crew. Erroneous information from the dispatcher. The aircraft was named ""Clipper America."""
04,September,1971,1115,"Near Juneau, Alaska",Anchorage - Seattle,111,104,7,111,104,7,0,1866,Boeing B-727-193,N2969G,19304/287,The aircraft crashed into the slopes of Chikat Mountain in rain and fog while attempting a non-precision instrument landing at Juneau Municipal Airport. Display of misleading navigation information which resulted in the premature descent below obstacle clearance altitude. The crew didn't use all available navaids to check the position of the aircraft.
